epoch,accuracy,dice_coef,iou,learning_rate,loss,val_accuracy,val_dice_coef,val_iou,val_loss
0,0.5731247067451477,0.3355237543582916,0.19854013621807098,0.0010000000474974513,0.664476215839386,0.8417431712150574,0.02202870510518551,0.012588203884661198,0.9718061685562134
1,0.7108833193778992,0.4134524464607239,0.2542513906955719,0.0010000000474974513,0.5865475535392761,0.8475906252861023,5.3207586461212486e-05,2.216095307261412e-09,0.9999376535415649
2,0.7235692739486694,0.4232741594314575,0.26036128401756287,0.0010000000474974513,0.5767258405685425,0.6448591351509094,0.29262253642082214,0.16724428534507751,0.6752806305885315
3,0.7262434363365173,0.42387497425079346,0.2597639560699463,0.0010000000474974513,0.5761250257492065,0.6121806502342224,0.35877591371536255,0.21610811352729797,0.6135686039924622
4,0.7361889481544495,0.4278765022754669,0.26286959648132324,0.0010000000474974513,0.5721234679222107,0.5312808156013489,0.3403666317462921,0.2043892741203308,0.6380060911178589
5,0.740104615688324,0.4274613857269287,0.2623129189014435,0.0010000000474974513,0.5725386142730713,0.6696823239326477,0.37145254015922546,0.22218580543994904,0.5943170189857483
6,0.7407415509223938,0.4291597604751587,0.263485312461853,0.0010000000474974513,0.5708402395248413,0.6463767886161804,0.373087078332901,0.2245270013809204,0.5967585444450378
7,0.7438191771507263,0.4309873878955841,0.2648537755012512,0.0010000000474974513,0.5690125823020935,0.593716561794281,0.3655928671360016,0.2205522656440735,0.6120104789733887
8,0.7446296811103821,0.4314784109592438,0.2650476396083832,0.0010000000474974513,0.5685215592384338,0.6775773763656616,0.38085561990737915,0.22931821644306183,0.5851925015449524
9,0.7404571771621704,0.42994216084480286,0.2637269198894501,0.0010000000474974513,0.5700578093528748,0.6908657550811768,0.382720947265625,0.23105791211128235,0.5812373161315918
10,0.7443231344223022,0.4312823414802551,0.2649449408054352,0.0010000000474974513,0.5687176585197449,0.6754287481307983,0.380295991897583,0.22920113801956177,0.5856256484985352
11,0.7430317401885986,0.43043288588523865,0.2638430595397949,0.0010000000474974513,0.5695672035217285,0.7794047594070435,0.407195508480072,0.23818226158618927,0.5641425251960754
12,0.7426714897155762,0.43024516105651855,0.26373565196990967,0.0010000000474974513,0.5697548389434814,0.7618928551673889,0.39455074071884155,0.23785869777202606,0.5645825266838074
13,0.7391616702079773,0.4305248558521271,0.2640533745288849,0.0010000000474974513,0.5694751143455505,0.7468692064285278,0.3878714144229889,0.23144814372062683,0.5717227458953857
14,0.7437119483947754,0.4304986894130707,0.2643089294433594,0.0010000000474974513,0.5695013403892517,0.6639177203178406,0.376901239156723,0.22613082826137543,0.5902462005615234
15,0.7459867596626282,0.43235039710998535,0.26588261127471924,0.0010000000474974513,0.5676496028900146,0.8475906252861023,0.0014426156412810087,2.216095307261412e-09,0.9985116720199585
16,0.7424917817115784,0.43201926350593567,0.2653394937515259,0.0010000000474974513,0.5679807066917419,0.8475906252861023,0.0007543067331425846,2.216095307261412e-09,0.9992387890815735
17,0.7451079487800598,0.4340057373046875,0.26696595549583435,0.00010000000474974513,0.5659942030906677,0.8475906252861023,0.0013957456685602665,2.216095307261412e-09,0.9985702633857727
18,0.7473037838935852,0.43457409739494324,0.2674907445907593,0.00010000000474974513,0.5654258728027344,0.8473600745201111,0.004824874922633171,0.001631514634937048,0.9953603148460388
19,0.7482411861419678,0.43484801054000854,0.2677430808544159,0.00010000000474974513,0.5651519894599915,0.7925335764884949,0.36770889163017273,0.21879348158836365,0.6012536883354187
20,0.7485607862472534,0.43509986996650696,0.26794055104255676,0.00010000000474974513,0.5649001598358154,0.7819273471832275,0.3826632499694824,0.2288672924041748,0.5849277377128601
21,0.7488831877708435,0.435343861579895,0.26815539598464966,0.00010000000474974513,0.5646561980247498,0.7736020088195801,0.3876681923866272,0.23221909999847412,0.5779937505722046
22,0.7491589188575745,0.4357658624649048,0.2684842348098755,1.0000000656873453e-05,0.5642341375350952,0.7670300006866455,0.38853195309638977,0.2326645404100418,0.5753272771835327
23,0.7492285370826721,0.43580353260040283,0.26852142810821533,1.0000000656873453e-05,0.5641964673995972,0.7606602311134338,0.38934803009033203,0.2338162511587143,0.5716979503631592
24,0.749302089214325,0.43583884835243225,0.26855671405792236,1.0000000656873453e-05,0.5641611218452454,0.7573864459991455,0.3911006450653076,0.23551487922668457,0.5678600072860718
25,0.749360203742981,0.4358702003955841,0.26858729124069214,1.0000000656873453e-05,0.5641298294067383,0.7554356455802917,0.39133691787719727,0.235544353723526,0.5668630003929138
26,0.7493850588798523,0.43589985370635986,0.26860812306404114,1.0000000656873453e-05,0.5641002058982849,0.7545486688613892,0.391205370426178,0.235448956489563,0.5664610862731934
27,0.7494365572929382,0.4359472990036011,0.26864030957221985,1.0000001111620804e-06,0.5640527009963989,0.7539732456207275,0.391197144985199,0.23540392518043518,0.5661060810089111
28,0.7494375109672546,0.435950368642807,0.26864224672317505,1.0000001111620804e-06,0.5640496015548706,0.7536428570747375,0.39117980003356934,0.23532484471797943,0.5659043788909912
29,0.7494392395019531,0.4359534978866577,0.2686443328857422,1.0000001111620804e-06,0.5640465021133423,0.7534075975418091,0.3911200761795044,0.2352023422718048,0.5657967329025269
30,0.7494408488273621,0.43595659732818604,0.26864737272262573,1.0000001111620804e-06,0.564043402671814,0.7532575726509094,0.3910578191280365,0.23515170812606812,0.5657508969306946
31,0.7494430541992188,0.4359597861766815,0.2686496078968048,1.0000001111620804e-06,0.5640402436256409,0.7531430125236511,0.3910142183303833,0.23512409627437592,0.565731942653656
32,0.7494441866874695,0.4359629154205322,0.26865115761756897,9.999999974752427e-07,0.5640370845794678,0.7530598640441895,0.3909784257411957,0.23509186506271362,0.5657304525375366
33,0.7494457960128784,0.43596604466438293,0.26865413784980774,9.999999974752427e-07,0.5640339255332947,0.7529995441436768,0.39095404744148254,0.23504388332366943,0.5657294988632202
34,0.7494476437568665,0.43596917390823364,0.26865676045417786,9.999999974752427e-07,0.5640308856964111,0.7529635429382324,0.3909353017807007,0.23503001034259796,0.5657303333282471
35,0.7494494915008545,0.4359724521636963,0.26865947246551514,9.999999974752427e-07,0.5640276074409485,0.7529206871986389,0.39091920852661133,0.23500879108905792,0.5657336711883545
36,0.74945068359375,0.4359756410121918,0.2686617374420166,9.999999974752427e-07,0.5640243887901306,0.7528774738311768,0.39090561866760254,0.23498570919036865,0.5657379627227783
